Year,Stock,Return,Stock_Name
2004,INFY,36.262662453991716,Infosys
2004,WIPRO,32.49579757586481,Wipro
2004,HCLTECH,8.058435438265779,HCL Tech
2004,TCS,35.173844830203954,TCS
2005,INFY,41.39086126772191,Infosys
2005,WIPRO,-38.56404136833731,Wipro
2005,HCLTECH,54.116638078902234,HCL Tech
2005,TCS,25.83410308516534,TCS
2006,INFY,-24.755399667712748,Infosys
2006,WIPRO,31.23240199263591,Wipro
2006,HCLTECH,19.04982833812749,HCL Tech
2006,TCS,-27.589476179189376,TCS
2007,INFY,-22.121752139572745,Infosys
2007,WIPRO,-14.046275856430379,Wipro
2007,HCLTECH,-48.43175596402034,HCL Tech
2007,TCS,-13.704445334401274,TCS
2008,INFY,-36.14506110999799,Infosys
2008,WIPRO,-54.76744186046511,Wipro
2008,HCLTECH,-64.19810588417947,HCL Tech
2008,TCS,-54.682091887534966,TCS
2009,INFY,126.54705395636456,Infosys
2009,WIPRO,174.02780576264357,Wipro
2009,HCLTECH,202.36156351791533,HCL Tech
2009,TCS,51.001308241924114,TCS
2010,INFY,31.774860292429004,Infosys
2010,WIPRO,-29.19429230325742,Wipro
2010,HCLTECH,22.945297763406085,HCL Tech
2010,TCS,55.078826581520666,TCS
2011,INFY,-19.971951942400274,Infosys
2011,WIPRO,-17.46196045957976,Wipro
2011,HCLTECH,-14.576681713090386,HCL Tech
2011,TCS,0.22451534907820359,TCS
2012,INFY,-17.453140853343776,Infosys
2012,WIPRO,-1.1278195488721803,Wipro
2012,HCLTECH,57.1900406504065,HCL Tech
2012,TCS,6.554386560325811,TCS
2013,INFY,50.9690971695866,Infosys
2013,WIPRO,40.89191232048377,Wipro
2013,HCLTECH,102.93337619545126,HCL Tech
2013,TCS,71.81900882015584,TCS
2014,INFY,-43.121395617070355,Infosys
2014,WIPRO,0.45232495024425545,Wipro
2014,HCLTECH,26.889153754469614,HCL Tech
2014,TCS,18.806018669019632,TCS
2015,INFY,-44.013371150729334,Infosys
2015,WIPRO,1.3577118030412745,Wipro
2015,HCLTECH,-46.782424695046046,HCL Tech
2015,TCS,-4.270197010469261,TCS
2016,INFY,-8.56367337706401,Infosys
2016,WIPRO,-14.736274597897395,Wipro
2016,HCLTECH,-2.1162144588283947,HCL Tech
2016,TCS,-2.104370137394467,TCS
2017,INFY,4.090500449505536,Infosys
2017,WIPRO,-33.35807443537271,Wipro
2017,HCLTECH,7.483403741701871,HCL Tech
2017,TCS,14.39219090774345,TCS
2018,INFY,-36.24401335203908,Infosys
2018,WIPRO,4.517453798767971,Wipro
2018,HCLTECH,9.7473540457494,HCL Tech
2018,TCS,-28.445343211369824,TCS
2019,INFY,9.939102323133604,Infosys
2019,WIPRO,-24.7512628195316,Wipro
2019,HCLTECH,-40.81366880241704,HCL Tech
2019,TCS,13.606264452385949,TCS
2020,INFY,70.42817398385016,Infosys
2020,WIPRO,55.934598304400495,Wipro
2020,HCLTECH,65.42529941428444,HCL Tech
2020,TCS,32.070031371101685,TCS
2021,INFY,7.449720337974522,Infosys
2021,WIPRO,26.96469981963411,Wipro
2021,HCLTECH,-5.42346133613887,HCL Tech
2021,TCS,3.667719627764026,TCS
