Year,Sector,AvgReturn,AvgVolume
2000,Energy,-0.00013500729553834258,3502798.344
2000,Financial,0.0008962802703545715,663269.4228855722
2000,Technology,-0.001138664187839687,336282.8817204301
2001,Energy,0.00038143998415482216,1964672.0665322582
2001,Financial,-0.0007962347370192749,366831.84544406
2001,Technology,-0.0004034285770070303,1401268.7768817204
2002,Energy,0.0021757500522440573,1812888.3486055776
2002,Financial,0.0024813546263020535,353166.6782868526
2002,Technology,0.00014290835773924507,1040223.047808765
2003,Energy,0.00310130691486985,2891559.3602362205
2003,Financial,0.0028900198757003796,1254325.2322834646
2003,Technology,0.0014436099387603238,950353.843832021
2004,Energy,0.00048080789831091045,5798885.751371115
2004,Financial,0.0010041612839374475,1486776.8838582677
2004,Technology,-0.000125176515962777,869675.6701877934
2005,Energy,0.001613047512777095,4084609.0146082337
2005,Financial,0.0013286422443967514,1018824.9571713147
2005,Technology,0.0009327634561204939,754409.671314741
2006,Energy,0.0007060327265035115,3383574.473333333
2006,Financial,0.0020366438970907627,882923.431
2006,Technology,0.00046196323642274615,850548.839
2007,Energy,0.0029242013062532224,5372031.5923172245
2007,Financial,0.0029858851356403277,1198408.3092369477
2007,Technology,-0.0007554555274078006,1130635.5692771084
2008,Energy,-0.0017591298256336733,4878068.103658536
2008,Financial,-0.002570277019713164,3093620.87601626
2008,Technology,-0.0024999368126896425,1324265.3028455283
2009,Energy,0.001575986382331027,3844745.3251028806
2009,Financial,0.0032383573182544097,3822140.400205761
2009,Technology,0.004302040697470701,1721000.1203703703
2010,Energy,-0.00011710177910460465,3157749.263888889
2010,Financial,0.0005496927187730226,1855922.251984127
2010,Technology,0.0008447658862709903,1209543.9851190476
2011,Energy,-0.0014336711157439683,3589085.513157895
2011,Financial,-0.001828447773791365,2429852.6477732793
2011,Technology,-0.00041071096091853035,1352089.75
2012,Energy,0.0004447205617361132,2974575.354581673
2012,Financial,0.0019212501639074727,2474495.625498008
2012,Technology,0.000483305230730677,1235838.812749004
2013,Energy,4.2342000051060815e-05,4522064.707
2013,Financial,-3.6502027724179544e-05,2503283.812
2013,Technology,0.0022053528057939297,1514014.386
2014,Energy,0.0007081477396157545,5393949.057377049
2014,Financial,0.00036742832181591354,2506884.406762295
2014,Technology,0.00016703311993902247,1401245.5153688525
2015,Energy,-3.406455183810342e-05,3651282.330645161
2015,Financial,-0.0007220329352780622,7430248.921370967
2015,Technology,-0.0007205696995373289,1855069.7721774194
2016,Energy,0.0004080939934444082,4360505.89777328
2016,Financial,0.0003660022627056886,10549104.457489878
2016,Technology,-0.00021944070049856998,1984917.955465587
2017,Energy,0.0003053329310242089,5967948.639112903
2017,Financial,0.0013379100022788877,9215016.08064516
2017,Technology,0.00010609129460647981,2392745.4052419355
2018,Energy,-0.00013449098307986965,7064798.193089431
2018,Financial,0.0005849921612254982,12057316.56707317
2018,Technology,-0.00018173675881970138,3510349.9786585364
2019,Energy,2.2854596613942872e-05,9928890.770408163
2019,Financial,0.0006449110737777796,13901140.625510205
2019,Technology,-0.00025638858188156303,4826800.48877551
2020,Energy,0.00015417402025128465,20404898.22420635
2020,Financial,0.00053558967356722,28967775.71031746
2020,Technology,0.0020637746236837895,8186756.274801588
2021,Energy,0.0012910556344990249,20535728.7125
2021,Financial,0.0009588228163970161,22770448.725
2021,Technology,0.001187766908080529,9064078.309375
